x,y,nazwa,miasto
20.643658,49.854352,Stacje paliw Orlen,Tymowa
22.389456,51.918420,Stacje paliw Orlen,Łuków
18.529200,50.722900,Stacje paliw Orlen,Gwozdziany
18.930157,50.842093,Stacje paliw Orlen,Wręczyca Wielka
21.301685,52.218331,Stacje paliw Orlen,Konik Nowy
17.593900,51.665091,Stacje paliw Orlen,Ostrów Wielkopolski
22.492602,50.096214,Stacje paliw Orlen,Gorliczyna
16.654007,52.458343,Stacje paliw Orlen,Tarnowo Podgórne
16.543600,52.222600,Stacje paliw Orlen,Granowo
18.452168,52.174169,Stacje paliw Orlen,Genowefa
21.624809,50.833282,Stacje paliw Orlen,Bidziny
16.201888,51.045039,Stacje paliw Orlen,Jawor
20.949312,52.192603,Stacje paliw Orlen,Warszawa
23.423103,50.436547,Stacje paliw Orlen,Tomaszów Lubelski
22.704100,52.211800,Stacje paliw Orlen,Łosice
18.331600,52.474700,Stacje paliw Orlen,Skulsk
22.588384,53.109394,Stacje paliw Orlen,Zawady
21.119233,52.268527,Stacje paliw Orlen,Warszawa
16.583690,50.716397,Stacje paliw Orlen,Pieszyce
16.805401,50.581598,Stacje paliw Orlen,Ząbkowice śląskie
20.154318,52.786876,Stacje paliw Orlen,Sierakowo
21.081461,52.286287,Stacje paliw Orlen,Warszawa
20.422515,52.213087,Stacje paliw Orlen,Paprotnia
20.792400,50.861700,Stacje paliw Orlen,Górno
17.229400,51.914600,Stacje paliw Orlen,Borek Wielkopolski
19.781100,50.384100,Stacje paliw Orlen,Wolbrom
19.204100,50.317012,Stacje paliw Orlen,Dąbrowa Górnicza
21.403151,50.287554,Stacje paliw Orlen,Mielec
19.821900,51.737400,Stacje paliw Orlen,Koluszki
19.034884,49.858687,Stacje paliw Orlen,Bielsko-Biała
23.141481,50.994880,Stacje paliw Orlen,Krasnystaw
19.659433,52.563768,Stacje paliw Orlen,Płock
21.464716,52.585620,Stacje paliw Orlen,Wyszków
20.487355,53.758658,Stacje paliw Orlen,Olsztyn
16.323770,50.761797,Stacje paliw Orlen,Wałbrzych
17.060000,50.776900,Stacje paliw Orlen,Strzelin
16.102163,51.655703,Stacje paliw Orlen,Głogów
21.875457,49.825696,Stacje paliw Orlen,Żyznów
22.126838,50.369041,Stacje paliw Orlen,Jeżowe
20.368199,52.678746,Stacje paliw Orlen,Ćwiklinek
16.296675,50.869014,Stacje paliw Orlen,świebodzice
19.405442,51.391817,Stacje paliw Orlen,Dobrzelów
20.034600,50.328300,Stacje paliw Orlen,Miechów
16.062728,51.506964,Stacje paliw Orlen,Polkowice
19.437816,49.982333,Stacje paliw Orlen,Zator
18.794500,49.724500,Stacje paliw Orlen,Ustroń
21.396460,50.921401,Stacje paliw Orlen,Ostrowiec świętokrzyski
20.337214,53.413510,Stacje paliw Orlen,Nidzica
18.835500,49.796100,Stacje paliw Orlen,Pogórze
19.200010,52.851555,Stacje paliw Orlen,Lipno
21.448379,50.287857,Stacje paliw Orlen,Mielec
22.414200,53.629400,Stacje paliw Orlen,Grajewo
18.068500,50.669100,Stacje paliw Orlen,Chrząstowice
18.899906,50.386006,Stacje paliw Orlen,Radzionków
21.436000,50.515800,Stacje paliw Orlen,Osiek
18.916797,53.160811,Stacje paliw Orlen,Frydrychowo
15.281581,52.766038,Stacje paliw Orlen,Gorzów Wielkopolski
21.688684,50.064714,Stacje paliw Orlen,Sędziszów Małopolski
20.934062,52.392267,Stacje paliw Orlen,Legionowo
19.186685,50.301809,Stacje paliw Orlen,Sosnowiec
16.333378,51.813622,Stacje paliw Orlen,Wschowa
19.107761,50.145784,Stacje paliw Orlen,Lędziny
19.730366,52.572583,Stacje paliw Orlen,Płock
21.166165,49.648814,Stacje paliw Orlen,Gorlice
19.670850,52.845267,Stacje paliw Orlen,Sierpc
20.191413,51.679018,Stacje paliw Orlen,Czerniewice
21.141927,52.365365,Stacje paliw Orlen,Marki
19.966049,52.116941,Stacje paliw Orlen,Łowicz
19.661769,49.872254,Stacje paliw Orlen,Kalwaria Zebrzydowska
19.346320,49.860618,Stacje paliw Orlen,Andrychów
19.163451,50.768839,Stacje paliw Orlen,Częstochowa
20.741686,49.964772,Stacje paliw Orlen,Sufczyn
20.052901,49.684495,Stacje paliw Orlen,Mszana Dolna
20.749751,52.416121,Stacje paliw Orlen,Nowy Dwór
16.914816,51.480186,Stacje paliw Orlen,Żmigród
17.345398,50.453278,Stacje paliw Orlen,Nysa
17.821944,51.293378,Stacje paliw Orlen,Perzów
18.868097,50.443201,Stacje paliw Orlen,Tarnowskie Góry
20.983518,50.035653,Stacje paliw Orlen,Tarnów
20.380745,52.416389,Stacje paliw Orlen,Chociszewo
21.861000,52.828900,Stacje paliw Orlen,Komorowo
20.859055,52.216386,Stacje paliw Orlen,Jawczyce
17.948172,52.870070,Stacje paliw Orlen,Barcin
19.368022,50.127185,Stacje paliw Orlen,Chrzanów
21.115978,52.337272,Stacje paliw Orlen,Marki
23.057939,53.148122,Stacje paliw Orlen,Porosły
21.503100,50.192800,Stacje paliw Orlen,Tuszyma
19.929565,49.594153,Stacje paliw Orlen,Chabówka
18.615843,51.034126,Stacje paliw Orlen,Jaworek
15.484773,51.247583,Stacje paliw Orlen,Brzeznik
21.222299,52.107620,Stacje paliw Orlen,Józefów
21.116959,52.316501,Stacje paliw Orlen,Marki
19.112027,50.787763,Stacje paliw Orlen,Częstochowa
21.117655,52.027343,Stacje paliw Orlen,Baniocha
21.227519,52.344475,Stacje paliw Orlen,Wołomin
21.283700,52.846600,Stacje paliw Orlen,Rzewnie
14.952500,51.480100,Stacje paliw Orlen,Przewóz
14.998600,51.639400,Stacje paliw Orlen,Lipinki Łużyckie
20.190200,50.080900,Stacje paliw Orlen,Kraków
20.994700,53.997000,Stacje paliw Orlen,Kolno
19.695294,50.774644,Stacje paliw Orlen,Koniecpol
21.892100,52.802800,Stacje paliw Orlen,Ostrów Mazowiecka
22.064500,53.164400,Stacje paliw Orlen,Łomża
17.930883,53.283432,Stacje paliw Orlen,Stopka
19.103200,50.296500,Stacje paliw Orlen,Czelsdz
20.986380,49.998153,Stacje paliw Orlen,Tarnów
21.406900,50.060000,Stacje paliw Orlen,Dębica
18.985302,50.258977,Stacje paliw Orlen,Katowice
17.772000,51.658500,Stacje paliw Orlen,Ostrów Wielkopolski
20.370241,52.614633,Stacje paliw Orlen,Płońsk
18.804600,52.857700,Stacje paliw Orlen,Raciążek
18.845900,50.148900,Stacje paliw Orlen,Łaziska Górne
19.633800,50.137600,Stacje paliw Orlen,Krzeszowice
21.937600,51.386000,Stacje paliw Orlen,Góra Puławska
20.457700,50.885200,Stacje paliw Orlen,Piekoszów
15.667300,50.835600,Stacje paliw Orlen,Podgórzyn
15.602372,51.395248,Stacje paliw Orlen,Trzebień
15.171900,51.661400,Stacje paliw Orlen,Kadłubia
19.736207,51.402286,Stacje paliw Orlen,Piotrków Trybunalski
16.171800,51.021000,Stacje paliw Orlen,Paszowice
18.609100,50.754100,Stacje paliw Orlen,Ciasna
22.336600,53.777100,Stacje paliw Orlen,Nowa Wieś Ełcka
19.137900,50.815300,Stacje paliw Orlen,Częstochowa
20.688941,52.029314,Stacje paliw Orlen,Przeszkoda
20.692700,49.624300,Stacje paliw Orlen,Nowy Sącz
19.289700,49.876400,Stacje paliw Orlen,Bulowice
20.438600,49.556900,Stacje paliw Orlen,Łącko
16.684019,52.129610,Stacje paliw Orlen,Kawczyn
18.565789,51.221933,Stacje paliw Orlen,Rychłowice
15.289600,51.125800,Stacje paliw Orlen,Lubań
15.019409,51.151653,Stacje paliw Orlen,Zgorzelec
22.523800,52.686600,Stacje paliw Orlen,Zadobrze
15.476439,51.955112,Stacje paliw Orlen,Zielona Góra
16.168445,54.194295,Stacje paliw Orlen,Koszalin
17.579268,53.707971,Stacje paliw Orlen,Chojnice
19.920032,52.107708,Stacje paliw Orlen,Łowicz
20.309400,49.734900,Stacje paliw Orlen,Podłopień
20.333639,52.616407,Stacje paliw Orlen,Ilinko
14.816227,51.633979,Stacje paliw Orlen,Królów
19.165442,50.323485,Stacje paliw Orlen,Dąbrowa Górnicza
16.535800,52.366100,Stacje paliw Orlen,Buk
21.740300,52.194200,Stacje paliw Orlen,Jakubów
16.090900,52.117000,Stacje paliw Orlen,Niałek Wielki
16.084400,52.100200,Stacje paliw Orlen,Wolsztyn
15.630200,51.336900,Stacje paliw Orlen,Lipiany
15.566798,51.269896,Stacje paliw Orlen,Bolesławiec
20.718035,50.469722,Stacje paliw Orlen,Elżbiecin
20.372447,50.131773,Stacje paliw Orlen,Hebdów
20.615549,49.753754,Stacje paliw Orlen,Łososina Dolna
19.147500,49.979000,Stacje paliw Orlen,Łukanowice
19.422600,50.066600,Stacje paliw Orlen,Wygiełzów
20.856717,49.528557,Stacje paliw Orlen,Łabowa
18.160320,52.067793,Stacje paliw Orlen,Rychwał
17.323990,51.022965,Stacje paliw Orlen,Jelcz-Laskowice
17.438096,51.712642,Stacje paliw Orlen,Krotoszyn
20.119964,50.072839,Stacje paliw Orlen,Kraków
18.616000,50.244800,Stacje paliw Orlen,Żernica
19.911537,49.865763,Stacje paliw Orlen,Jawornik
19.895000,49.859000,Stacje paliw Orlen,Jawornik
23.145767,52.024305,Stacje paliw Orlen,Biała Podlaska
23.093105,52.032033,Stacje paliw Orlen,Biała Podlaska
20.409400,51.203800,Stacje paliw Orlen,Końskie
19.298662,50.093084,Stacje paliw Orlen,Libiąż
19.483990,49.886598,Stacje paliw Orlen,Wadowice
15.793800,52.566900,Stacje paliw Orlen,Wierzbno
15.570800,52.461900,Stacje paliw Orlen,Międzyrzecz
20.621970,52.193837,Stacje paliw Orlen,Błonie
18.841800,49.682600,Stacje paliw Orlen,Wisła
16.772530,51.028350,Stacje paliw Orlen,Kąty Wrocławskie
16.574104,51.836394,Stacje paliw Orlen,Leszno
17.962120,53.137200,Stacje paliw Orlen,Bydgoszcz
19.734980,53.906640,Stacje paliw Orlen,Sople
18.477135,54.380675,Stacje paliw Orlen,Gdańsk
20.978987,52.168175,Stacje paliw Orlen,Warszawa
14.652843,52.324049,Stacje paliw Orlen,Słubice
16.746970,50.903250,Stacje paliw Orlen,Sobótka
15.596540,51.316920,Stacje paliw Orlen,Kraśnik
19.979290,50.068860,Stacje paliw Orlen,Kraków
19.179248,51.944996,Stacje paliw Orlen,Stary Chrząstów
19.176013,51.944556,Stacje paliw Orlen,Stary Chrząstów
18.162840,50.462560,Stacje paliw Orlen,Wysoka
22.676080,50.009320,Stacje paliw Orlen,Jarosław
20.584860,52.863600,Stacje paliw Orlen,Ciechanów
22.013340,52.866060,Stacje paliw Orlen,Prosienica
15.569810,51.307060,Stacje paliw Orlen,Łąka
18.994789,50.130069,Stacje paliw Orlen,Tychy
19.367060,51.370270,Stacje paliw Orlen,Bełchatów
16.696100,50.702800,Stacje paliw Orlen,Karczów
19.193888,50.140881,Stacje paliw Orlen,Imielin
22.578267,51.287690,Stacje paliw Orlen,Elizówka
20.329140,52.128780,Stacje paliw Orlen,Guzów
16.659302,52.084668,Stacje paliw Orlen,Kościan
20.008380,52.450860,Stacje paliw Orlen,Bodzanów
19.652470,52.580590,Stacje paliw Orlen,Płock
18.296560,52.371160,Stacje paliw Orlen,Ślesin
17.964580,52.647780,Stacje paliw Orlen,Mogilno
19.287610,50.185420,Stacje paliw Orlen,Jaworzno
17.475130,51.370590,Stacje paliw Orlen,Twardogóra
21.184000,52.312920,Stacje paliw Orlen,Zielonka
18.774100,52.875370,Stacje paliw Orlen,Ciechocinek
21.841010,50.810740,Stacje paliw Orlen,Zawichost
20.311040,50.636920,Stacje paliw Orlen,Jędrzejów
22.551680,51.220290,Stacje paliw Orlen,Lublin
22.274110,53.001090,Stacje paliw Orlen,Zambrów
20.506060,53.784900,Stacje paliw Orlen,Olsztyn
18.920050,50.485580,Stacje paliw Orlen,Miasteczko śląskie
21.148720,52.225856,Stacje paliw Orlen,Warszawa
21.369050,52.117260,Stacje paliw Orlen,Wola Ducka
21.375140,52.114920,Stacje paliw Orlen,Wola Ducka
21.248090,52.118310,Stacje paliw Orlen,Otwock
21.240410,52.128650,Stacje paliw Orlen,Józefów
20.932750,52.270670,Stacje paliw Orlen,Warszawa
17.028770,50.458780,Stacje paliw Orlen,Paczków
20.545520,50.508700,Stacje paliw Orlen,Pińczów
20.742740,50.625490,Stacje paliw Orlen,Chmielnik
15.894610,52.593150,Stacje paliw Orlen,Międzychód
20.382920,53.109630,Stacje paliw Orlen,Mława
15.697060,50.869290,Stacje paliw Orlen,Jelenia Góra
17.267140,52.231980,Stacje paliw Orlen,środa Wielkopolska
17.485750,54.186910,Stacje paliw Orlen,Bytów
18.614840,49.954770,Stacje paliw Orlen,Jastrzębie-Zdrój
15.042700,51.157510,Stacje paliw Orlen,Łagów
18.694340,49.958910,Stacje paliw Orlen,Pawłowice
20.819270,54.248880,Stacje paliw Orlen,Bartoszyce
21.876320,52.829570,Stacje paliw Orlen,Ostrów Mazowiecka
16.152140,54.186280,Stacje paliw Orlen,Koszalin
15.255610,52.737440,Stacje paliw Orlen,Gorzów Wielkopolski
19.554178,50.050124,Stacje paliw Orlen,Kraków
20.217740,50.044640,Stacje paliw Orlen,Niepołomice
16.181480,54.211550,Stacje paliw Orlen,Koszalin
15.983330,54.208930,Stacje paliw Orlen,Będzino
17.314550,51.199770,Stacje paliw Orlen,Smardzów
16.109805,50.916171,Stacje paliw Orlen,Bolków
21.188390,52.313330,Stacje paliw Orlen,Zielonka
18.585290,53.034700,Stacje paliw Orlen,Toruń
16.152710,54.209410,Stacje paliw Orlen,Koszalin
21.095120,52.234570,Stacje paliw Orlen,Warszawa
17.474420,50.856620,Stacje paliw Orlen,Brzeg
21.228400,52.224090,Stacje paliw Orlen,Warszawa
14.572070,53.543220,Stacje paliw Orlen,Police
17.040610,54.465240,Stacje paliw Orlen,Słupsk
16.992880,54.457480,Stacje paliw Orlen,Słupsk
16.754510,53.160570,Stacje paliw Orlen,Piła
23.228200,50.766900,Stacje paliw Orlen,Sitaniec k.Zamościa
14.882090,53.152280,Stacje paliw Orlen,Pyrzyce
15.612550,53.622460,Stacje paliw Orlen,Łobez
22.711430,51.212730,Stacje paliw Orlen,świdnik
19.692080,52.852320,Stacje paliw Orlen,Sierpc
22.222090,52.407560,Stacje paliw Orlen,Sokołów Podlaski
20.987930,53.555400,Stacje paliw Orlen,Szczytno
21.142360,51.391370,Stacje paliw Orlen,Radom
17.868353,51.485641,Stacje paliw Orlen,Niedzwiedz
22.432400,51.304810,Stacje paliw Orlen,Jastków
22.633190,51.370600,Stacje paliw Orlen,Zalesie
22.368070,51.096300,Stacje paliw Orlen,Niedrzwica Kościelna
22.307080,52.148180,Stacje paliw Orlen,Siedlce
