PNI;y;x;województwo;powiat;gmina;nazwa placówki;kod pocztowy;miejscowoœæ;ulica;telefon;godziny pracy - opis;stan placówki;
266233;50.283000;19.146900;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 11;41-211;Sosnowiec;ul. Gabriela Narutowicza 52;32-266-18-69;dni robocze: Pon.: 08:30-15:30 Wt.: 08:30-15:30 Œr.: 08:30-15:30 Czw.: 12:00-19:00 Pt.: 12:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266240;50.309800;19.191100;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 13;41-213;Sosnowiec;ul. Boles³awa Krzywoustego 1;32-263-48-13;dni robocze: 09:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266257;50.290800;19.118000;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 14;41-214;Sosnowiec;ul. Gospodarcza 32;32-291-36-30;dni robocze: 09:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266264;50.295000;19.244400;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 15;41-215;Sosnowiec;ul. Armii Krajowej 81;32-263-56-05;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266271;50.270700;19.229200;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 16;41-216;Sosnowiec;ul. Spadochroniarzy 3;32-294-71-74;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266288;50.274100;19.200200;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 18;41-218;Sosnowiec;ul. Gabrieli Zapolskiej 10 B;32-263-79-13;dni robocze: Pon.: 08:00-15:00 Wt.: 08:00-15:00 Œr.: 08:00-15:00 Czw.: 12:00-18:00 Pt.: 12:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266295;50.295300;19.186600;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 19;41-219;Sosnowiec;ul. Teofila Lenartowicza 8;32-263-49-91;dni robocze: 08:00-19:00#soboty: 10:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266307;50.286000;19.186600;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 20;41-220;Sosnowiec;ul. Koszaliñska 23;32-263-33-93;dni robocze: 08:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
266314;50.289997;19.179640;ŒL¥SKIE;Sosnowiec;Sosnowiec;UP Sosnowiec 21;41-221;Sosnowiec;ul. Stefana Kisielewskiego 9 A;32-263-13-05;dni robocze: 08:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#;;
266352;50.272522;18.529698;ŒL¥SKIE;gliwicki;Soœnicowice;UP Soœnicowice;44-153;Soœnicowice;ul. Rynek 3-5;32-238-75-20;dni robocze: Pon.: 08:00-18:00 Wt.: 08:00-16:00 Œr.: 08:00-16:00 Czw.: 08:00-16:00 Pt.: 08:00-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
267317;49.916718;18.762116;ŒL¥SKIE;cieszyñski;Strumieñ;UP Strumieñ;43-246;Strumieñ;ul. Pocztowa 9;33-857-01-29;dni robocze: 08:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
267517;50.387700;19.080700;ŒL¥SKIE;bêdziñski;Psary;UP Strzy¿owice k. Bêdzina;42-575;Strzy¿owice;ul. Belna 1;32-267-22-46;dni robocze: Pon.: 08:30-15:00 Wt.: 08:30-15:00 Œr.: 08:30-15:00 Czw.: 08:30-15:00 Pt.: 10:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
267874;50.028100;18.791605;ŒL¥SKIE;pszczyñski;Suszec;UP Suszec Pszczyñski;43-267;Suszec;ul. Wyzwolenia 2;32-449-15-76;dni robocze: 08:30-15:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
268653;50.625900;19.820000;ŒL¥SKIE;zawierciañski;Szczekociny;UP Szczekociny;42-445;Szczekociny;ul. Senatorska 2;34-355-70-49;dni robocze: 08:00-15:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
268734;49.718070;19.034044;ŒL¥SKIE;bielski;Szczyrk;UP Szczyrk;43-370;Szczyrk;ul. Beskidzka 101;33-817-89-40;dni robocze: 08:00-18:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
269087;49.718500;19.372370;ŒL¥SKIE;¿ywiecki;Œlemieñ;UP Œlemieñ;34-323;Œlemieñ;ul. Rynek 9;33-865-40-95;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
269506;50.437801;18.944533;ŒL¥SKIE;tarnogórski;Œwierklaniec;UP Œwierklaniec;42-622;Œwierklaniec;ul. Oœwiêcimska 17;32-284-41-15;dni robocze: 08:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
313842;50.467940;19.047868;ŒL¥SKIE;tarnogórski;O¿arowice;FUP Œwierklaniec;42-625;O¿arowice;ul. Dworcowa 15;32-285-71-24 #jedn. nadrzêdna: UP Œwierklaniec#tel.: 32-284-41-15;dni robocze: 11:00-14:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
955909;50.308180;18.904754;ŒL¥SKIE;Œwiêtoch³owice;Œwiêtoch³owice;FUP Œwiêtoch³owice 1;41-605;Œwiêtoch³owice;ul. Doktora Antoniego Bukowego 21;32-245-29-91 #jedn. nadrzêdna: UP Œwiêtoch³owice 1#tel.: 32-245-29-93 w.33, 32-245-40-49 w.44;dni robocze: 09:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
269582;50.293068;18.920088;ŒL¥SKIE;Œwiêtoch³owice;Œwiêtoch³owice;UP Œwiêtoch³owice 1;41-600;Œwiêtoch³owice;ul. Pocztowa 12;32-245-29-93 w.33, 32-245-40-49 w.44;dni robocze: 08:00-19:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#Placówka przyjazna e-Commerce.#;;
269601;50.310543;18.915110;ŒL¥SKIE;Œwiêtoch³owice;Œwiêtoch³owice;UP Œwiêtoch³owice 8;41-608;Œwiêtoch³owice;ul. Górna 4;32-345-15-74;dni robocze: 09:00-18:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
269887;50.445228;18.860843;ŒL¥SKIE;tarnogórski;Tarnowskie Góry;UP Tarnowskie Góry 1;42-600;Tarnowskie Góry;ul. Marsza³ka Józefa Pi³sudskiego 12;32-285-32-80, 81;dni robocze: 08:00-20:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
760409;50.478991;18.805408;ŒL¥SKIE;tarnogórski;Tarnowskie Góry;FUP Tarnowskie Góry 1;42-609;Tarnowskie Góry;ul. Strzybnicka 5;32-284-11-49 #jedn. nadrzêdna: UP Tarnowskie Góry 1#tel.: 32-285-32-80, 81;dni robocze: Pon.: 10:30-17:30 Wt.: 10:30-17:30 Œr.: 10:30-17:30 Czw.: 10:30-17:30 Pt.: 11:00-17:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
270532;50.452299;18.517027;ŒL¥SKIE;gliwicki;Toszek;UP Toszek;44-180;Toszek;ul. Dworcowa 30;32-233-43-82;dni robocze: 08:00-15:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
271128;50.530585;18.716771;ŒL¥SKIE;tarnogórski;Tworóg;UP Tworóg;42-690;Tworóg;ul. Zamkowa 5;32-285-74-15;dni robocze: 08:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
271142;50.110919;18.994803;ŒL¥SKIE;Tychy;Tychy;UP Tychy 1;43-100;Tychy;ul. Henryka D¹browskiego 40;32-327-38-34 w.228;dni robocze: 08:00-20:30#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
271159;50.119986;18.989203;ŒL¥SKIE;Tychy;Tychy;UP Tychy 5;43-105;Tychy;ul. Estetyczna 4;32-227-43-14;dni robocze: Pon.: 08:00-15:00 Wt.: 08:00-15:00 Œr.: 11:00-18:00 Czw.: 11:00-18:00 Pt.: 11:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
271166;50.126459;18.984987;ŒL¥SKIE;Tychy;Tychy;UP Tychy 8;43-108;Tychy;ul. Stefana Batorego 14;32-227-38-80;dni robocze: 10:00-18:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
271335;49.477884;19.144707;ŒL¥SKIE;¿ywiecki;Ujso³y;UP Ujso³y;34-371;Ujso³y;ul. Gminna 1;33-864-70-29;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
271511;49.723494;18.807446;ŒL¥SKIE;cieszyñski;Ustroñ;UP Ustroñ k. Cieszyna 1;43-450;Ustroñ;ul. Ignacego Daszyñskiego 33;33-854-35-68;dni robocze: 08:00-19:00#soboty: 07:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
273605;49.604620;19.114030;ŒL¥SKIE;¿ywiecki;Wêgierska Górka;UP Wêgierska Górka;34-350;Wêgierska Górka;ul. Zielona 41;33-864-11-15;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
273924;50.507320;18.609295;ŒL¥SKIE;gliwicki;Wielowieœ;UP Wielowieœ k. Gliwic;44-187;Wielowieœ;ul. Zamkowa 5;32-233-60-20;dni robocze: Pon.: 08:00-15:00 Wt.: 08:00-15:00 Œr.: 08:00-15:00 Czw.: 08:00-18:00 Pt.: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274110;49.916260;19.152696;ŒL¥SKIE;bielski;Wilamowice;UP Wilamowice k. Oœwiêcimia;43-330;Wilamowice;ul. Rynek 1;33-845-71-81;dni robocze: Pon.: 08:00-18:00 Wt.: 08:00-18:00 Œr.: 08:00-18:00 Czw.: 08:00-18:00 Pt.: 08:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274196;49.760680;19.095380;ŒL¥SKIE;bielski;Wilkowice;UP Wilkowice;43-365;Wilkowice;ul. Wiœniowa 4;33-817-13-13;dni robocze: 09:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274277;49.655180;18.859088;ŒL¥SKIE;cieszyñski;Wis³a;UP Wis³a;43-460;Wis³a;Plac Bogumi³a Hoffa 1;33-857-72-42, 33-855-25-10;dni robocze: 08:00-19:00#soboty: 07:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274660;50.552400;19.450500;ŒL¥SKIE;zawierciañski;W³odowice;UP W³odowice;42-421;W³odowice;ul. Rynek 2;34-315-30-52;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
780746;49.968530;18.527990;ŒL¥SKIE;wodzis³awski;Mszana;FUP Wodzis³aw Œl¹ski;44-325;Mszana;ul. 1 Maja 81;32-472-00-90 #jedn. nadrzêdna: UP Wodzis³aw Œl¹ski#tel.: 32-455-15-51;dni robocze: Pon.: 08:00-16:30 Wt.: 08:00-15:00 Œr.: 08:00-15:00 Czw.: 08:00-15:00 Pt.: 08:00-14:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#;;
780739;50.018480;18.512800;ŒL¥SKIE;wodzis³awski;Marklowice;FUP Wodzis³aw Œl¹ski;44-321;Marklowice;ul. Wyzwolenia 71;32-455-00-37 #jedn. nadrzêdna: UP Wodzis³aw Œl¹ski#tel.: 32-455-15-51;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274741;50.002440;18.465840;ŒL¥SKIE;wodzis³awski;Wodzis³aw Œl¹ski;UP Wodzis³aw Œl¹ski;44-300;Wodzis³aw Œl¹ski;ul. Ksiêdza Pu³kownika Wilhelma Kubsza 4;32-455-15-51;dni robocze: 07:30-19:30#soboty: 07:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274815;50.364500;19.036200;ŒL¥SKIE;bêdziñski;Wojkowice;UP Wojkowice;42-580;Wojkowice;ul. Kazimierza Pu³askiego 1 C;32-360-40-80;dni robocze: 08:00-18:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
305884;50.058900;19.098800;ŒL¥SKIE;bieruñsko-lêdziñski;Bojszowy;FUP Wola k. Pszczyny;43-220;Bojszowy;ul. Gaikowa 22;32-218-90-99 #jedn. nadrzêdna: UP Wola k. Pszczyny#tel.: 32-449-14-68;dni robocze: Pon.: 08:00-13:00 Wt.: 08:00-13:00 Œr.: 08:00-13:00 Czw.: 11:00-16:00 Pt.: 11:00-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
274853;50.015380;19.116005;ŒL¥SKIE;pszczyñski;MiedŸna;UP Wola k. Pszczyny;43-225;Wola;ul. Krótka 3;32-449-14-68;dni robocze: Pon.: 08:30-18:00 Wt.: 08:30-17:00 Œr.: 08:30-17:00 Czw.: 08:30-17:00 Pt.: 08:30-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
275070;50.586670;19.056773;ŒL¥SKIE;lubliniecki;WoŸniki;UP WoŸniki Œl¹skie;42-289;WoŸniki;ul. Tarnogórska 4;34-357-30-50;dni robocze: Pon.: 08:30-17:00 Wt.: 08:30-15:00 Œr.: 08:30-15:00 Czw.: 08:30-15:00 Pt.: 08:30-15:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
275106;50.845080;18.917685;ŒL¥SKIE;k³obucki;Wrêczyca Wielka;UP Wrêczyca;42-130;Wrêczyca Wielka;ul. Szkolna 3;34-317-00-28;dni robocze: 08:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
276123;50.305808;18.786460;ŒL¥SKIE;Zabrze;Zabrze;UP Zabrze 1;41-800;Zabrze;Plac Dworcowy 1;32-271-03-20 w.162, 32-271-03-20;dni robocze: 08:00-20:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
276154;50.298359;18.826704;ŒL¥SKIE;Zabrze;Zabrze;UP Zabrze 6;41-806;Zabrze;ul. Kalinowa 7;32-271-19-03;dni robocze: 08:00-18:00#soboty: 09:00-12:00#niedziele i œwiêta: placówka nieczynna#;;
276161;50.340972;18.777185;ŒL¥SKIE;Zabrze;Zabrze;UP Zabrze 7;41-807;Zabrze;ul. Brygadzistów 2;32-271-48-15;dni robocze: 08:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#;;
276178;50.365065;18.800805;ŒL¥SKIE;Zabrze;Zabrze;UP Zabrze 8;41-808;Zabrze;ul. Doktora Henryka Jordana 2;32-272-22-25;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
276859;50.491500;19.425800;ŒL¥SKIE;zawierciañski;Zawiercie;UP Zawiercie 1;42-400;Zawiercie;ul. Józefa Pi³sudskiego 13;32-672-36-79;dni robocze: 08:00-20:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
276866;50.486200;19.423200;ŒL¥SKIE;zawierciañski;Zawiercie;UP Zawiercie 3;42-403;Zawiercie;ul. Tadeusza Koœciuszki 2;32-672-27-00;dni robocze: 09:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
277014;50.415334;18.752332;ŒL¥SKIE;tarnogórski;Zbros³awice;UP Zbros³awice;42-674;Zbros³awice;ul. Adama Mickiewicza 2;32-233-70-20;dni robocze: 09:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
277119;49.878880;18.612453;ŒL¥SKIE;cieszyñski;Zebrzydowice;UP Zebrzydowice;43-410;Zebrzydowice;ul. Ksiêdza Antoniego Janusza 6;32-469-35-94;dni robocze: 08:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
277683;50.624294;19.365238;ŒL¥SKIE;myszkowski;¯arki;UP ¯arki;42-310;¯arki;ul. Tadeusza Koœciuszki 15;34-314-80-89;dni robocze: Pon.: 08:00-15:00 Wt.: 08:00-17:00 Œr.: 08:00-15:00 Czw.: 08:00-15:00 Pt.: 08:00-15:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
277702;50.479900;19.860400;ŒL¥SKIE;zawierciañski;¯arnowiec;UP ¯arnowiec n. Pilic¹;42-439;¯arnowiec;ul. Warszawska 13;32-644-91-02;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
277926;50.042200;18.688250;ŒL¥SKIE;¯ory;¯ory;UP ¯ory 1;44-240;¯ory;ul. Wodzis³awska 1;32-434-03-47;dni robocze: 07:30-19:30#soboty: 08:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#Placówka przyjazna e-Commerce.#;;
277933;50.040070;18.703001;ŒL¥SKIE;¯ory;¯ory;UP ¯ory 4;44-244;¯ory;ul. Francuska 11;32-475-35-79;dni robocze: 09:00-20:00#soboty: 09:00-16:00#niedziele i œwiêta: 11:00-16:00 (niedziele)#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
278112;49.688420;19.198595;ŒL¥SKIE;¿ywiecki;¯ywiec;UP ¯ywiec 1;34-300;¯ywiec;ul. Tadeusza Koœciuszki 31;33-861-20-11;dni robocze: 08:00-19:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
278129;49.679420;19.186365;ŒL¥SKIE;¿ywiecki;¯ywiec;UP ¯ywiec 2;34-310;¯ywiec;ul. Dworcowa 52;33-861-20-55;dni robocze: 06:30-18:00#soboty: 08:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
231144;50.796300;21.232700;ŒWIÊTOKRZYSKIE;opatowski;Baækowice;UP Baækowice;27-552;Baækowice;Baækowice 84a;15-833-16-10;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
